index,label,success,neutrality,proximity_l2,flip_correct
0,0,0,nan,nan,0
1,0,0,nan,nan,0
2,0,0,nan,nan,0
3,0,0,nan,nan,0
4,1,1,2.980232238769531e-07,2.8956751823425293,1
5,1,1,2.980232238769531e-07,4.794868469238281,1
6,0,0,nan,nan,0
7,1,1,2.980232238769531e-07,3.1821839809417725,1
8,1,1,3.2782554626464844e-07,1.7084258794784546,1
9,0,0,nan,nan,0
10,1,1,1.0132789611816406e-06,4.184812545776367,1
11,1,1,2.980232238769531e-07,3.1241180896759033,1
12,1,1,2.980232238769531e-07,3.58502197265625,1
13,0,0,nan,nan,0
14,1,1,2.980232238769531e-07,4.147885799407959,1
15,0,0,nan,nan,0
16,0,0,nan,nan,0
17,0,0,nan,nan,0
18,1,1,2.980232238769531e-07,3.0454094409942627,1
19,1,1,0.00010788440704345703,3.6698269844055176,1
20,0,0,nan,nan,0
21,1,1,2.980232238769531e-07,2.6882431507110596,1
22,0,0,nan,nan,0
23,0,0,nan,nan,0
24,1,1,5.364418029785156e-07,3.6923835277557373,1
25,0,0,nan,nan,0
26,1,1,2.980232238769531e-07,4.294984340667725,1
27,0,0,nan,nan,0
28,0,0,nan,nan,0
29,0,0,nan,nan,0
30,0,0,nan,nan,0
31,0,0,nan,nan,0
32,1,1,2.980232238769531e-07,2.7381675243377686,1
33,1,1,3.2782554626464844e-07,4.182495594024658,1
34,1,1,2.980232238769531e-07,3.375638723373413,1
35,1,1,2.980232238769531e-07,3.777031898498535,1
36,1,1,2.980232238769531e-07,3.3784854412078857,1
37,0,0,nan,nan,0
38,0,0,nan,nan,0
39,0,0,nan,nan,0
40,0,0,nan,nan,0
41,1,1,2.980232238769531e-07,3.6064701080322266,1
42,0,0,nan,nan,0
43,1,1,2.980232238769531e-07,5.697161674499512,1
44,1,1,2.980232238769531e-07,2.7467904090881348,1
45,0,0,nan,nan,0
46,1,1,2.980232238769531e-07,3.825169801712036,1
47,0,0,nan,nan,0
48,1,1,2.980232238769531e-07,3.713165044784546,1
49,0,0,nan,nan,0
50,1,1,2.980232238769531e-07,5.205557823181152,1
51,1,1,2.980232238769531e-07,2.5344972610473633,1
52,0,0,nan,nan,0
53,0,0,nan,nan,0
54,0,0,nan,nan,0
55,0,0,nan,nan,0
56,0,0,nan,nan,0
57,1,1,2.980232238769531e-07,3.451396942138672,1
58,1,1,2.980232238769531e-07,3.2380361557006836,1
59,1,1,2.980232238769531e-07,4.755202770233154,1
60,1,1,9.5367431640625e-07,1.5703788995742798,1
61,0,0,nan,nan,0
62,1,1,2.980232238769531e-07,5.311306953430176,1
63,0,0,nan,nan,0
64,1,1,2.980232238769531e-07,2.6845622062683105,1
65,0,0,nan,nan,0
66,0,0,nan,nan,0
67,1,1,2.980232238769531e-07,2.7555394172668457,1
68,1,1,2.980232238769531e-07,4.43943452835083,1
69,0,0,nan,nan,0
70,1,1,6.556510925292969e-07,4.110175609588623,1
71,0,0,nan,nan,0
72,0,0,nan,nan,0
73,1,1,2.980232238769531e-07,1.1516873836517334,1
74,1,1,2.980232238769531e-07,5.314590930938721,1
75,1,1,2.980232238769531e-07,3.420428991317749,1
76,1,1,2.980232238769531e-07,3.361936330795288,1
77,1,1,2.980232238769531e-07,4.462617874145508,1
78,1,1,2.980232238769531e-07,3.1615588665008545,1
79,1,1,2.980232238769531e-07,4.615354537963867,1
80,0,0,nan,nan,0
81,0,0,nan,nan,0
82,1,1,2.980232238769531e-07,2.612870454788208,1
83,1,1,2.980232238769531e-07,3.8143248558044434,1
84,0,0,nan,nan,0
85,0,0,nan,nan,0
86,0,0,nan,nan,0
87,0,0,nan,nan,0
88,0,0,nan,nan,0
89,1,1,2.980232238769531e-07,3.718350887298584,1
90,1,1,2.980232238769531e-07,3.465015172958374,1
91,1,1,2.980232238769531e-07,6.085958480834961,1
92,0,0,nan,nan,0
93,1,1,2.980232238769531e-07,5.1039276123046875,1
94,0,0,nan,nan,0
95,1,1,2.980232238769531e-07,3.411099433898926,1
96,1,1,1.9490718841552734e-05,2.412889242172241,1
97,0,0,nan,nan,0
98,0,0,nan,nan,0
99,1,1,2.980232238769531e-07,1.9418376684188843,1
100,0,0,nan,nan,0
101,1,1,2.980232238769531e-07,2.9114999771118164,1
102,1,1,2.980232238769531e-07,4.836889266967773,1
103,1,1,2.980232238769531e-07,5.145688056945801,1
104,1,1,2.980232238769531e-07,4.296250820159912,1
105,0,0,nan,nan,0
106,1,1,2.980232238769531e-07,4.518683910369873,1
107,1,1,1.4901161193847656e-07,3.316960573196411,1
108,0,0,nan,nan,0
109,1,1,2.980232238769531e-07,2.4328670501708984,1
110,0,0,nan,nan,0
111,0,0,nan,nan,0
112,1,1,2.980232238769531e-07,2.8906848430633545,1
113,1,1,2.980232238769531e-07,3.653797149658203,1
114,1,1,2.980232238769531e-07,2.1540262699127197,1
115,1,1,2.980232238769531e-07,4.1110053062438965,1
116,1,1,2.980232238769531e-07,5.076681613922119,1
117,1,1,2.980232238769531e-07,4.034271717071533,1
118,0,0,nan,nan,0
119,0,0,nan,nan,0
120,0,0,nan,nan,0
121,0,0,nan,nan,0
122,1,1,2.980232238769531e-07,6.098867416381836,1
123,1,1,2.980232238769531e-07,7.099273681640625,1
124,1,1,2.980232238769531e-07,6.162741184234619,1
125,1,1,2.980232238769531e-07,3.733910322189331,1
126,0,0,nan,nan,0
127,1,1,2.980232238769531e-07,4.138528823852539,1
128,0,0,nan,nan,0
129,0,0,nan,nan,0
130,1,1,2.980232238769531e-07,6.05606746673584,1
131,1,1,2.980232238769531e-07,4.616270065307617,1
132,1,1,2.980232238769531e-07,3.6293351650238037,1
133,0,0,nan,nan,0
134,0,0,nan,nan,0
135,0,0,nan,nan,0
136,1,1,2.980232238769531e-07,3.931974411010742,1
137,1,1,2.980232238769531e-07,3.4613277912139893,1
138,0,0,nan,nan,0
139,1,1,2.980232238769531e-07,3.4336042404174805,1
140,0,0,nan,nan,0
141,1,1,2.980232238769531e-07,6.494904518127441,1
142,0,0,nan,nan,0
143,1,1,2.980232238769531e-07,3.1060683727264404,1
144,0,0,nan,nan,0
145,1,1,2.980232238769531e-07,4.391782760620117,1
146,1,1,2.980232238769531e-07,3.4374520778656006,1
147,1,1,2.980232238769531e-07,3.839857816696167,1
148,0,0,nan,nan,0
149,0,0,nan,nan,0
150,1,1,2.980232238769531e-07,4.034310817718506,1
151,0,0,nan,nan,0
152,0,0,nan,nan,0
153,0,0,nan,nan,0
154,1,1,2.980232238769531e-07,3.025841474533081,1
155,0,0,nan,nan,0
156,1,1,2.980232238769531e-07,3.7136635780334473,1
157,0,0,nan,nan,0
158,1,1,2.980232238769531e-07,3.895784854888916,1
159,0,0,nan,nan,0
160,0,0,nan,nan,0
161,0,0,nan,nan,0
162,0,0,nan,nan,0
163,0,0,nan,nan,0
164,0,0,nan,nan,0
165,0,0,nan,nan,0
166,0,0,nan,nan,0
167,1,1,2.980232238769531e-07,3.651890516281128,1
168,0,0,nan,nan,0
169,0,0,nan,nan,0
170,1,1,2.980232238769531e-07,4.500948905944824,1
171,1,1,2.980232238769531e-07,3.5436267852783203,1
172,1,1,2.980232238769531e-07,3.5860211849212646,1
173,0,0,nan,nan,0
174,1,1,2.980232238769531e-07,3.786999225616455,1
175,0,0,nan,nan,0
176,0,0,nan,nan,0
177,1,1,2.980232238769531e-07,2.309825897216797,1
178,0,0,nan,nan,0
179,1,1,5.364418029785156e-07,2.1231517791748047,1
180,1,1,2.980232238769531e-07,2.170884609222412,1
181,0,0,nan,nan,0
182,0,0,nan,nan,0
183,0,0,nan,nan,0
184,0,0,nan,nan,0
185,1,1,2.980232238769531e-07,4.026325225830078,1
186,1,1,2.980232238769531e-07,3.8981120586395264,1
187,0,0,nan,nan,0
188,0,0,nan,nan,0
189,0,0,nan,nan,0
190,1,1,2.980232238769531e-07,3.2209672927856445,1
191,0,0,nan,nan,0
192,1,1,2.980232238769531e-07,5.031707286834717,1
193,0,0,nan,nan,0
194,0,0,nan,nan,0
195,1,1,2.980232238769531e-07,3.216369152069092,1
196,1,1,2.980232238769531e-07,5.0796895027160645,1
197,1,1,2.980232238769531e-07,1.1758337020874023,1
198,0,0,nan,nan,0
199,1,1,2.980232238769531e-07,3.620636224746704,1
