original_index,original_class,success,boundary_x1,boundary_x2,distance,method,neutrality,proximity_l2,flip_correct
88,0.0,False,-2.802366,-1.2504785,0.7071061,fgsm,,,False
89,1.0,False,1.4589033,3.7233567,0.7071098,fgsm,,,False
90,1.0,False,3.571934,1.088963,0.7071073,fgsm,,,False
91,1.0,False,5.327891,3.5240602,0.7071149,fgsm,,,False
92,0.0,False,-2.7090046,-0.059680752,0.7071063,fgsm,,,False
93,1.0,False,5.0713024,1.7982337,0.7071145,fgsm,,,False
94,0.0,False,-1.4667659,-0.1261897,0.70710623,fgsm,,,False
95,1.0,False,2.5735953,2.6854,0.7071061,fgsm,,,False
96,1.0,False,2.9931002,-0.42379376,0.70710635,fgsm,,,False
97,0.0,False,-3.1206722,-1.599086,0.7071061,fgsm,,,False
98,0.0,False,-3.3846676,0.20007688,0.7071065,fgsm,,,False
99,1.0,False,1.0530306,1.9713256,0.7071061,fgsm,,,False
100,0.0,False,-1.031903,0.26168132,0.7071065,fgsm,,,False
101,1.0,False,1.7770152,2.6771421,0.7071061,fgsm,,,False
102,1.0,False,3.2529428,3.984478,0.7071142,fgsm,,,False
103,1.0,False,4.969757,2.1929939,0.7071145,fgsm,,,False
104,1.0,False,3.2500784,3.261994,0.7071061,fgsm,,,False
105,0.0,False,-1.4502546,1.9644192,0.7071061,fgsm,,,False
106,1.0,False,4.650023,1.0994723,0.7071145,fgsm,,,False
107,1.0,False,3.6239734,0.21671522,0.7071082,fgsm,,,False
108,0.0,False,-4.1477795,-0.6030687,0.7071145,fgsm,,,False
109,1.0,False,2.628912,0.5452292,0.7071061,fgsm,,,False
110,0.0,False,-3.4383879,-1.1670787,0.7071061,fgsm,,,False
111,0.0,False,-3.0663042,-0.067356825,0.7071063,fgsm,,,False
112,1.0,False,2.9987035,1.0083821,0.7071061,fgsm,,,False
113,1.0,False,1.3655409,3.6870909,0.70710915,fgsm,,,False
114,1.0,False,2.3430517,0.5710566,0.7071061,fgsm,,,False
115,1.0,False,1.9048872,3.967153,0.70711386,fgsm,,,False
116,1.0,False,4.857,2.2805378,0.7071145,fgsm,,,False
117,1.0,False,3.0213373,3.1194093,0.7071061,fgsm,,,False
118,0.0,False,-3.02327,0.8708397,0.7071061,fgsm,,,False
119,0.0,False,-2.3761308,1.1941462,0.7071061,fgsm,,,False
120,0.0,False,-3.1295114,1.1160592,0.7071061,fgsm,,,False
121,0.0,False,-1.6450028,-0.26203477,0.7071061,fgsm,,,False
122,1.0,False,6.061818,1.963814,0.7071145,fgsm,,,False
123,1.0,False,6.623359,3.2796078,0.7071145,fgsm,,,False
124,1.0,False,6.076187,2.131886,0.7071145,fgsm,,,False
125,1.0,False,3.5192177,1.9631069,0.7071063,fgsm,,,False
126,0.0,False,-3.483982,2.0975366,0.7071061,fgsm,,,False
127,1.0,False,3.4092221,2.8533528,0.7071061,fgsm,,,False
128,0.0,False,-3.167217,0.4839955,0.7071063,fgsm,,,False
129,0.0,False,-2.1777964,1.263337,0.7071062,fgsm,,,False
130,1.0,False,5.9380655,2.2076564,0.7071145,fgsm,,,False
131,1.0,False,4.1934333,2.5648015,0.7071145,fgsm,,,False
132,1.0,False,3.3214657,2.0999963,0.7071061,fgsm,,,False
133,0.0,False,-3.4079778,-2.1213057,0.7071061,fgsm,,,False
134,0.0,False,-3.8177516,-0.84815216,0.70711136,fgsm,,,False
135,0.0,False,-2.765081,1.075314,0.7071062,fgsm,,,False
136,1.0,False,3.7065187,2.0324,0.70710945,fgsm,,,False
137,1.0,False,3.6438146,0.71359265,0.70710844,fgsm,,,False
138,0.0,False,-1.8500636,0.10672538,0.70710635,fgsm,,,False
139,1.0,False,3.492969,1.2501677,0.7071061,fgsm,,,False
140,0.0,True,0.16328244,1.2852416,0.29244107,fgsm,1.531839370727539e-05,0.2924410402774811,True
141,1.0,False,5.52134,3.9677448,0.70712227,fgsm,,,False
142,0.0,False,-1.9811714,1.2389295,0.7071062,fgsm,,,False
143,1.0,False,1.8315485,2.8722918,0.7071061,fgsm,,,False
144,0.0,False,-3.1749864,1.2782375,0.7071061,fgsm,,,False
145,1.0,False,4.4138274,1.5157506,0.7071145,fgsm,,,False
146,1.0,False,2.8099144,2.4761755,0.7071061,fgsm,,,False
147,1.0,False,3.0408523,2.8213568,0.7071061,fgsm,,,False
148,0.0,False,-3.861425,0.60753745,0.7071124,fgsm,,,False
